Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Close_Lag1,Close_Lag7,MA_7,MA_30,Volatility_7,Price_Change,Return,DayOfWeek,Month,Price_Change_Direction
11/30/2018,4295.72,4341.36,3943,0.010238114,0.088712613,00:00.0,278810574.9,288098,33803.97675,139232146.7,0,0.013379151,0.014918941,0.009060923,0.023945789,0.036760188,0.464101498,0.568758206,0.666666667,0.909090909,0
12/1/2018,4041.27,4299.99,3963.01,0.012073224,0.058572896,00:00.0,186157614.3,205472,22425.41131,93092891.05,0,0.010238114,0.008894423,0.009515633,0.023028962,0.03634086,0.491685525,0.73142982,0.833333333,1,1
12/2/2018,4190.98,4312.99,4103.04,0.011715211,0.050777151,00:00.0,162917339,178087,19632.48576,82236824.78,0,0.012073224,0.010786796,0.009648437,0.022090251,0.036787473,0.479528495,0.657382102,1,1,0
12/3/2018,4160.55,4179,3827,0.008296747,0.064167677,00:00.0,195055919.5,207134,23219.63435,92281403.05,0,0.011715211,0.008027589,0.009686939,0.021056507,0.035804485,0.462563655,0.556356043,0,1,0
12/4/2018,3884.76,4085,3781,0.009131371,0.063372288,00:00.0,191673423.7,220815,23934.23591,94658347.08,0,0.008296747,0.008188146,0.009821862,0.020009906,0.032689029,0.486139577,0.698600944,0.166666667,1,1
12/5/2018,3950.98,3970,3745,0.006887772,0.057474436,00:00.0,169404368.2,199011,20500.98159,78965669.66,0,0.009131371,0.012996703,0.008948013,0.018895187,0.038681347,0.469076227,0.591186357,0.333333333,1,0
12/6/2018,3768.44,3899.99,3500,0.003665654,0.08952843,00:00.0,254722331.5,293512,32658.46139,121928277.4,0,0.006887772,0.013379151,0.007558551,0.017651942,0.049420979,0.463652048,0.55180462,0.5,1,0
12/7/2018,3508.75,3549.99,3224.6,0.002367379,0.124728991,00:00.0,322364604.3,413521,47770.63779,161888033.9,0,0.003665654,0.010238114,0.006432686,0.016340739,0.062662613,0.474316385,0.618326872,0.666666667,1,0
12/8/2018,3403.57,3495,3222,0.002458455,0.072415368,00:00.0,187909876.2,253650,29371.74109,99748773.25,0,0.002367379,0.012073224,0.005057346,0.015073314,0.061054779,0.482017912,0.672781436,0.833333333,1,1
12/9/2018,3411.36,3658,3394.04,0.004117583,0.060041615,00:00.0,161618597.8,194567,23399.94561,82219737.94,0,0.002458455,0.011715211,0.003970547,0.013886128,0.047109372,0.490710007,0.735866673,1,1,1
